2017-06-03 00:00:00,2017-06-04 00:00:00,Weekend z latającymi psami we Wrocławiu,weekend.latać.pies.Wrocław
2017-06-03 00:00:00,2017-06-03 00:00:00,Wielki piknik rodzinny przy SP 1 i turniej mini piłki nożnej „Mini Liga Mistrzów” na Ołbinie,wielki.piknik.rodzinny.SP.1.turniej.mini.piłka.nożny.liga.mistrz.Ołbinie
2017-06-03 00:00:00,2017-06-03 00:00:00,X Dolnośląskie Onkoigrzyska Dzieci i Młodzieży,X.dolnośląski.Onkoigrzyska.dziecko.młodzież
2017-06-03 00:00:00,2017-06-03 00:00:00,Warsztaty: Manipulacja  perswazja i techniki wpływu,warsztat.manipulacja.perswazja.technika.wpływ
2017-06-03 00:00:00,2017-06-03 00:00:00,II Amatorski Turniej Tenisa,II.amatorski.turniej.tenis
2017-06-03 00:00:00,2017-06-09 00:00:00,19. Festiwal Kultury Żydowskiej SIMCHA,19.festiwal.kultura.żydowski.SIMCHA
2017-06-03 00:00:00,2017-06-04 00:00:00,Zlot Food Trucków – „Food O’Clock Festival & Beer O'Clock”,zlot.Food.truck.Clock.Festival.Beer.O'Clock
2017-06-02 00:00:00,2017-06-02 00:00:00,Natura  kobiety i wino,natura.kobieta.wina
2017-06-02 00:00:00,2017-06-02 00:00:00,Niebieski słoń,niebieski.słoń
2017-06-02 00:00:00,2017-06-02 00:00:00,40 Synów i 30 Wnuków Jeżdżących na 70 Oślętach,40.syn.30.wnuk.jeździć.70.oślę
2017-06-02 00:00:00,2017-06-02 00:00:00,Koncert: Stan Breckenridge Trio,koncert.stan.Breckenridge.trio
2017-06-02 00:00:00,2017-06-02 00:00:00,Kulinarna Noc w Bibliotece,kulinarny.noc.biblioteka
2017-06-02 00:00:00,2017-06-02 00:00:00,Muzyczna Scena Talentów,muzyczny.scena.talent
2017-06-02 00:00:00,2017-06-02 00:00:00,Opowieść ugandyjska / Kolwezi na fali,opowieść.ugandyjski.Kolwezi.fala
2017-06-02 00:00:00,2017-06-02 00:00:00,W obronie jedzenia,obrona.jedzenie
2017-06-02 00:00:00,2017-06-02 00:00:00,L.U.C  Tau  Bovska  Rebel Babel Ensemble – koncert w Zajezdni,L.C.tau.Bovska.rebel.Babel.ensemble.koncert.zajezdnia
2017-06-02 00:00:00,2017-06-04 00:00:00,Przegląd Filmów Kulinarnych w kinie Nowe Horyzonty,przegląd.film.kulinarny.kino.nowa.horyzont
2017-06-02 00:00:00,2017-06-02 00:00:00,Wrocławskie Spotkania Nalewkowe,Wrocławskie.spotkanie.nalewkowy
