2017-06-01 00:00:00,2017-06-01 00:00:00,W reakcji na zło. Wykład Bernadetty Darskiej
2017-06-01 00:00:00,2017-06-01 00:00:00,Kacperiada cz 1. (6 odcinków + Geneza Muchomściciela)
2017-06-01 00:00:00,2017-06-01 00:00:00,Znaki na ciele – warsztaty kaligraficzne na Dzień Dziecka we WRO
2017-06-01 00:00:00,2017-06-04 00:00:00,Dzień Dziecka w Kinie Nowe Horyzonty
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka w Sky Tower pełen skarbów
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka – przejazd zabytkowym autobusem
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka w Domu Handlowym „Feniks"
2017-06-01 00:00:00,2017-06-01 00:00:00,Oddawaj batona!
2017-06-01 00:00:00,2017-06-01 00:00:00,Dzień Dziecka w Arkadach Wrocławskich
2017-06-01 00:00:00,2017-06-01 00:00:00,Magic Show na Dzień Dziecka — Marcin Muszyński
2017-06-01 00:00:00,2017-06-04 00:00:00,Festiwal AfryKamera
2017-06-01 00:00:00,2017-06-03 00:00:00,Spotkania autorskie Europy na Widelcu
2017-06-01 00:00:00,2017-06-04 00:00:00,Dzień Dziecka w Loopy’s World
2017-06-01 00:00:00,2017-06-08 00:00:00,Dzień Dziecka w Galerii Tętno
2017-06-01 00:00:00,2017-06-04 00:00:00,Dzień Dziecka we wrocławskim aquaparku
2017-05-31 00:00:00,2017-05-31 00:00:00,RoboCop
2017-05-31 00:00:00,2017-05-31 00:00:00,Tribute to Amy Winehousem w Starym Klasztorze
2017-05-31 00:00:00,2017-05-31 00:00:00,„Pociąg do nieba” – premiera Teatru na Różance
2017-05-31 00:00:00,2017-05-31 00:00:00,Empatyczna Grupa Wsparcia dla Rodziców ART MAISON
2017-05-31 00:00:00,2017-05-31 00:00:00,Warsztaty sensualne: Hałasy  symfonie  emocje
2017-05-31 00:00:00,2017-05-31 00:00:00,Akademia Polskiego Filmu: Rysopis; Walkower
2017-05-31 00:00:00,2017-05-31 00:00:00,Twórcy pałacu Hatzfeldów – wykład dr Jerzego Kosa
2017-05-31 00:00:00,2017-05-31 00:00:00,Twórcy pałacu Hatzfeldów – wykład dr Jerzego Kosa
2017-05-31 00:00:00,2017-06-04 00:00:00,Targi Książki Kulinarnej
2017-05-31 00:00:00,2017-06-04 00:00:00,Europa na Widelcu 2017
2017-05-30 00:00:00,2017-05-30 00:00:00,Koncert: Posłuchaj  zobacz i uśmiechnij się!
2017-05-30 00:00:00,2017-05-30 00:00:00,Agnes Obel w Hali Stulecia
2017-05-30 00:00:00,2017-05-30 00:00:00,Rashomon
2017-05-30 00:00:00,2017-05-30 00:00:00,Odkrywanie nowych rynków  – o imporcie z Chin
2017-05-29 00:00:00,2017-05-29 00:00:00,W drodze do Jah
2017-05-29 00:00:00,2017-05-29 00:00:00,Biznes Mixer
2017-05-29 00:00:00,2017-05-29 00:00:00,Czy Noam Chomsky jest wysoki czy szczęśliwy?
2017-05-28 00:00:00,2017-05-28 00:00:00,Spektakl: „Współrodzice” – Teatr Ekstrawersja
2017-05-28 00:00:00,2017-05-28 00:00:00,Snarky Puppy w NFM
2017-05-28 00:00:00,2017-05-28 00:00:00,Koncert: Mistrz i uczeń
2017-05-28 00:00:00,2017-05-28 00:00:00,Spektakl: Inny
2017-05-28 00:00:00,2017-05-28 00:00:00,Skrzynie cechowe dla prestiżu i na ozdobę  – warsztaty dla dzieci
2017-05-28 00:00:00,2017-05-28 00:00:00,Drzewo w sercu miasta – happening Greenpeace i miastoDrzew
2017-05-28 00:00:00,2017-05-28 00:00:00,Warsztaty artystyczne – Mamy czas dla siebie w koralikowym świecie
2017-05-28 00:00:00,2017-05-28 00:00:00,Skrzynie cechowe dla prestiżu i na ozdobę  – warsztaty dla dzieci
2017-05-28 00:00:00,2017-05-28 00:00:00,Koncert z okazji Dnia Dziecka z piosenkami Tuwima
2017-05-28 00:00:00,2017-05-28 00:00:00,Coniedzielne Warsztaty Rodzinne: Żywa kultura
2017-05-28 00:00:00,2017-05-28 00:00:00,Tydzień Ruchu na Wyspie Piaskowej
2017-05-28 00:00:00,2017-05-28 00:00:00,Dzień Matki na Wyspie Słodowej
2017-05-28 00:00:00,2017-05-28 00:00:00,Niedzielne Poranki we WRO – „Latające krowy i znudzone sowy”
2017-05-28 00:00:00,2017-05-28 00:00:00,Dzień Dziecka na Partynicach
2017-05-28 00:00:00,2017-05-28 00:00:00,Wykład: Awangarda dwudziestolecia międzywojennego
2017-05-28 00:00:00,2017-05-28 00:00:00,Politechnika Wrocławska – historia kampusu
2017-05-28 00:00:00,2017-05-28 00:00:00,Dzień Dziecka z Wrocławskim Teatrem Lalek – piknik w Ogrodzie Staromiejskim
2017-05-28 00:00:00,2017-05-28 00:00:00,Skrzynie cechowe dla prestiżu i na ozdobę  – warsztaty dla dzieci
2017-05-28 00:00:00,2017-05-28 00:00:00,Charytatywny Przejazd Motocyklowy „Wataha dla Autyzmu”
2017-05-28 00:00:00,2017-05-28 00:00:00,Filmowe Poranki – Rodzina Treflików sezon 2 cz.
2017-05-28 00:00:00,2017-05-28 00:00:00,Filmowe Poranki – Rodzina Treflików sezon 2 cz.
2017-05-28 00:00:00,2017-05-28 00:00:00,Samochodowy Rajd Uliczny
2017-05-28 00:00:00,2017-05-28 00:00:00,Filmowe poranki: W obliczu wyzwania
2017-05-28 00:00:00,2017-05-28 00:00:00,Skrzynie cechowe dla prestiżu i na ozdobę  – warsztaty dla dzieci
2017-05-28 00:00:00,2017-05-28 00:00:00,Beach Spartan Cup 2017
2017-05-28 00:00:00,2017-05-28 00:00:00,VIII Bieg dla Maćka
2017-05-28 00:00:00,2017-05-28 00:00:00,Musical BEER|ON na Uniwersytecie Przyrodniczym we Wrocławiu
2017-05-28 00:00:00,2017-06-04 00:00:00,Leo Festiwal
2017-05-27 00:00:00,2017-05-27 00:00:00,No exit : PAPTAK  czyli komediowy spektakl improwizowany
2017-05-27 00:00:00,2017-05-27 00:00:00,„Skandalista” Tadeusz Boy-Żeleński
2017-05-27 00:00:00,2017-05-27 00:00:00,Rodrigo Pinheiro – 4. Solo Festiwal w OPT
2017-05-27 00:00:00,2017-05-27 00:00:00,Koncert z włoskim zespołem i solistkami
2017-05-27 00:00:00,2017-05-27 00:00:00,The National Theatre: Hedda Gabler
2017-05-27 00:00:00,2017-05-27 00:00:00,Śląsk Wrocław kontra Cracovia. Finał sezonu
2017-05-27 00:00:00,2017-05-27 00:00:00,AKUSMA Forum w NFM
2017-05-27 00:00:00,2017-05-27 00:00:00,Beeknik strachociński – czyli gramy dla pszczół i ratujemy spalona pasiekę!
2017-05-27 00:00:00,2017-05-27 00:00:00,Tęczowy Box – warsztaty dla dzieci w galerii Studio BWA
2017-05-27 00:00:00,2017-05-27 00:00:00,Relaks w Ruchu
2017-05-27 00:00:00,2017-05-27 00:00:00,Wykład: Śląskie skrzynki cechowe w prawie i obyczajowości miejscowych rzemieślników
2017-05-27 00:00:00,2017-05-27 00:00:00,Festiwal Kryminału: dzień czwarty (27 maja)
2017-05-27 00:00:00,2017-05-27 00:00:00,Borek – Free walking Special po polsku
2017-05-27 00:00:00,2017-05-27 00:00:00,Samochodowe Kino Dziecięce na Polanie Karłowickiej
2017-05-27 00:00:00,2017-05-27 00:00:00,Nadodrzańskie historie piwne
2017-05-27 00:00:00,2017-05-27 00:00:00,Intensywnie Literacka Sobota
2017-05-27 00:00:00,2017-05-27 00:00:00,Spacer z wolontariuszami w Muzeum Narodowym
2017-05-27 00:00:00,2017-05-27 00:00:00,Warsztaty żonglowania po hiszpańsku
2017-05-27 00:00:00,2017-05-27 00:00:00,MINI AKUSMA FORUM / słuchania dla dzieci
2017-05-27 00:00:00,2017-05-27 00:00:00,Wykład: „Sport Wrocławia w PRL”
2017-05-27 00:00:00,2017-05-27 00:00:00,Wykład: Włoska majolika  holenderski fajans
2017-05-27 00:00:00,2017-05-27 00:00:00,Wrocław Fashion Outlet: Spotkanie ze SpongeBobem
2017-05-27 00:00:00,2017-05-27 00:00:00,MINI AKUSMA FORUM / słuchania dla dzieci
2017-05-27 00:00:00,2017-05-28 00:00:00,Odjazdowy Dzień Dziecka w Alei Bielany z Tomkiem i jego przyjaciółmi
2017-05-27 00:00:00,2017-05-27 00:00:00,Festyn „Dzieciaki świętują!”
2017-05-27 00:00:00,2017-05-28 00:00:00,Hello!Summer w ZaZoo Beach
2017-05-27 00:00:00,2017-05-27 00:00:00,Przewietrz się na Olimpijskim z Akademią Wychowani Fizycznego we Wrocławiu
2017-05-27 00:00:00,2017-05-27 00:00:00,Warsztaty dla młodzieży – „Wrocławska rodzina wielokulturowa”
2017-05-27 00:00:00,2017-05-27 00:00:00,Piknik dla dzieci fińskich – otwarta impreza rodzinna
2017-05-27 00:00:00,2017-05-27 00:00:00,Filmowe poranki: W obliczu wyzwania
2017-05-27 00:00:00,2017-05-27 00:00:00,Zacznij od streeta – warsztaty street photo
2017-05-27 00:00:00,2017-05-27 00:00:00,Trening pewności siebie – jak przestać się krytykować i zacząć siebie lubić
2017-05-27 00:00:00,2017-05-27 00:00:00,Górski Bieg na Ślężę
2017-05-27 00:00:00,2017-05-28 00:00:00,Puchar Polski oraz pierwsza eliminacja GEPO-Slalom-Tour 2017 w narciarstwie wodnym
2017-05-27 00:00:00,2017-05-28 00:00:00,Parki ESK
2017-05-27 00:00:00,2017-05-27 00:00:00,„Odmieniamy mamy”: porady urodowo-zdrowotne w Magnolii Park
2017-05-27 00:00:00,2017-05-28 00:00:00,Targi „Żyj i mieszkaj we Wrocławiu”
